"","STATE","YEAR","Enroll","Tot_Revenue","Fed_Revenue","State_Revenue","Local_Revenue","Tot_Expenditure","Inst_Expenditure","State.Min.Wage","Fed.Min.Wage","Effective.Min.Wage","Percent","wage_cat"
"934","North Dakota",2011,96255,1309044,186844,630430,491770,1312226,660944,7.25,7.25,7.25,50.3681530468075,"intermediate"
"935","Ohio",2011,1655534,23488657,2533882,9834235,11120540,23010396,11074360,7.4,7.25,7.4,48.1276376121471,"intermediate"
"936","Oklahoma",2011,658163,5835133,968529,2741058,2125546,5644988,2866601,2,7.25,7.25,50.7813479851507,"intermediate"
"937","Oregon",2011,559631,6112484,848637,2792762,2471085,6317635,3261190,8.5,7.25,8.5,51.620424415149,"high"
"938","Pennsylvania",2011,1670854,28492510,3371827,9261234,15859449,28810721,13761915,7.25,7.25,7.25,47.7666456177893,"intermediate"
"939","Rhode Island",2011,139157,2212352,234111,768713,1209528,2198940,1260021,7.4,7.25,7.4,57.3012906218451,"intermediate"
"940","South Carolina",2011,713511,7772777,1041572,3338715,3392490,7961448,3689782,0,7.25,7.25,46.3456145163543,"intermediate"
"941","South Dakota",2011,125613,1297661,262395,374648,660618,1350617,661519,7.25,7.25,7.25,48.9790221802332,"intermediate"
"942","Tennessee",2011,986382,8679893,1272825,3955476,3451592,8961443,4947165,0,7.25,7.25,55.2050043726217,"intermediate"
"943","Texas",2011,4800196,51023159,7818075,19623258,23581826,52691826,25155007,7.25,7.25,7.25,47.7398657621013,"intermediate"
"944","Utah",2011,545395,4141253,500782,2058112,1582359,4195916,2157337,7.25,7.25,7.25,51.4151617906555,"intermediate"
"945","Vermont",2011,86982,1686499,106823,1329172,250504,1722515,888388,8.15,7.25,8.15,51.5750515960674,"high"
"946","Virginia",2011,1250852,14655345,1427301,5351177,7876867,14675815,7861076,7.25,7.25,7.25,53.5648343890953,"intermediate"
"947","Washington",2011,1042979,11905941,1367629,6758505,3779807,11928408,6007184,8.67,7.25,8.67,50.3603163137948,"high"
"948","West Virginia",2011,282130,3475642,510256,1927726,1037660,3670119,2010407,7.25,7.25,7.25,54.777706117976,"intermediate"
"949","Wisconsin",2011,864251,11664303,1002909,5226954,5434440,11440718,6138402,7.25,7.25,7.25,53.6539926952137,"intermediate"
"950","Wyoming",2011,88165,1650621,154955,878979,616687,1656850,825783,5.15,7.25,7.25,49.840540785225,"intermediate"
"951","Alabama",2012,744621,7136949,789954,3948651,2398344,7222161,3695221,0,7.25,7.25,51.1650321835805,"intermediate"
"952","Alaska",2012,130771,2383402,352005,1507913,523484,2483320,1255757,7.75,7.25,7.75,50.5676674774093,"intermediate"
"953","Arizona",2012,942738,7934798,1050228,2845535,4039035,8054662,3917564,7.65,7.25,7.65,48.6372240076617,"intermediate"
"954","Arkansas",2012,475671,5169926,666267,3823172,680487,5299969,2548056,6.25,7.25,7.25,48.0768095058669,"intermediate"
